year/_utc,image,name/_title,name,image/_source,image/_alt,year/_source,name/_text,name/_source,inducted_member
Mon Jan 01 00:00:00 GMT 1990,,Hank Ballard,https://en.wikipedia.org/wiki/Hank_Ballard,,,1990,Hank Ballard,/wiki/Hank_Ballard,
Mon Jan 01 00:00:00 GMT 1990,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e0/Charlie_Christian.jpg/75px-Charlie_Christian.jpg,Charlie Christian,https://en.wikipedia.org/wiki/Charlie_Christian,//upload.wikimedia.org/wikipedia/commons/thumb/e/e0/Charlie_Christian.jpg/75px-Charlie_Christian.jpg,Charlie Christian.jpg,1990,Charlie Christian,/wiki/Charlie_Christian,
Mon Jan 01 00:00:00 GMT 1990,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7a/Bobby_Darin_1959.JPG/75px-Bobby_Darin_1959.JPG,Bobby Darin,https://en.wikipedia.org/wiki/Bobby_Darin,//upload.wikimedia.org/wikipedia/commons/thumb/7/7a/Bobby_Darin_1959.JPG/75px-Bobby_Darin_1959.JPG,Bobby Darin 1959.JPG,1990,Bobby Darin,/wiki/Bobby_Darin,
Mon Jan 01 00:00:00 GMT 1990,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7f/Frankie_Valli_and_The_Four_Seasons.jpg/75px-Frankie_Valli_and_The_Four_Seasons.jpg,The Four Seasons (band),https://en.wikipedia.org/wiki/The_Four_Seasons_(band),//upload.wikimedia.org/wikipedia/commons/thumb/7/7f/Frankie_Valli_and_The_Four_Seasons.jpg/75px-Frankie_Valli_and_The_Four_Seasons.jpg,Frankie Valli and The Four Seasons.jpg,1990,The Four Seasons,/wiki/The_Four_Seasons_(band),"Tom DeVito, Bob Gaudio, Nick Massi, and Frankie Valli. [18]"
Mon Jan 01 00:00:00 GMT 1990,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d7/Grand_Gala_du_Disque_Populaire_1968_-_The_Four_Tops_1.jpg/75px-Grand_Gala_du_Disque_Populaire_1968_-_The_Four_Tops_1.jpg,Four Tops,https://en.wikipedia.org/wiki/Four_Tops,//upload.wikimedia.org/wikipedia/commons/thumb/d/d7/Grand_Gala_du_Disque_Populaire_1968_-_The_Four_Tops_1.jpg/75px-Grand_Gala_du_Disque_Populaire_1968_-_The_Four_Tops_1.jpg,Grand Gala du Disque Populaire 1968 - The Four Tops 1.jpg,1990,Four Tops,/wiki/Four_Tops,"Renaldo ""Obie"" Benson, Abdul ""Duke"" Fakir, Lawrence Payton, and Levi Stubbs. [19]"
Mon Jan 01 00:00:00 GMT 1990,https://upload.wikimedia.org/wikipedia/commons/thumb/8/88/Helmfrid-sofa4_Touched.JPG/75px-Helmfrid-sofa4_Touched.JPG,The Kinks,https://en.wikipedia.org/wiki/The_Kinks,//upload.wikimedia.org/wikipedia/commons/thumb/8/88/Helmfrid-sofa4_Touched.JPG/75px-Helmfrid-sofa4_Touched.JPG,"left to right: Pete Quaife, Dave Davies, Ray Davies, Mick Avory.",1990,The Kinks,/wiki/The_Kinks,"Mick Avory, Dave Davies, Ray Davies, and Pete Quaife. [20]"
Mon Jan 01 00:00:00 GMT 1990,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fc/The_Platters_First_Promo_Photo.jpg/75px-The_Platters_First_Promo_Photo.jpg,The Platters,https://en.wikipedia.org/wiki/The_Platters,//upload.wikimedia.org/wikipedia/commons/thumb/f/fc/The_Platters_First_Promo_Photo.jpg/75px-The_Platters_First_Promo_Photo.jpg,The Platters First Promo Photo.jpg,1990,The Platters,/wiki/The_Platters,"David Lynch, Herb Reed, Paul Robi, Zola Taylor, and Tony Williams. [21]"
Mon Jan 01 00:00:00 GMT 1990,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e5/SimonandGarfunkel.jpg/75px-SimonandGarfunkel.jpg,Simon & Garfunkel,https://en.wikipedia.org/wiki/Simon_%26_Garfunkel,//upload.wikimedia.org/wikipedia/commons/thumb/e/e5/SimonandGarfunkel.jpg/75px-SimonandGarfunkel.jpg,"Paul Simon (right) and Art Garfunkel performing in Dublin, 1982",1990,Simon & Garfunkel,/wiki/Simon_%26_Garfunkel,Paul Simon and Art Garfunkel. [22]
Mon Jan 01 00:00:00 GMT 1990,https://upload.wikimedia.org/wikipedia/commons/thumb/9/92/Who_-_1975.jpg/75px-Who_-_1975.jpg,The Who,https://en.wikipedia.org/wiki/The_Who,//upload.wikimedia.org/wikipedia/commons/thumb/9/92/Who_-_1975.jpg/75px-Who_-_1975.jpg,"The Who in 1975, left to right: Roger Daltrey, John Entwistle, Keith Moon, Pete Townshend",1990,The Who,/wiki/The_Who,"Roger Daltrey, John Entwistle, Keith Moon, and Pete Townshend. [23]"
Tue Jan 01 00:00:00 GMT 1991,https://upload.wikimedia.org/wikipedia/commons/thumb/0/01/LaVern_Baker_1956.jpg/75px-LaVern_Baker_1956.jpg,LaVern Baker,https://en.wikipedia.org/wiki/LaVern_Baker,//upload.wikimedia.org/wikipedia/commons/thumb/0/01/LaVern_Baker_1956.jpg/75px-LaVern_Baker_1956.jpg,Baker in 1956,1991,LaVern Baker,/wiki/LaVern_Baker,
